feature,importance
Destination Port,0.060156504373907634
Init_Win_bytes_backward,0.044014834574440755
Bwd Packet Length Std,0.035246806595548984
Bwd Packet Length Mean,0.026921588699446643
Packet Length Std,0.026612005867919307
Packet Length Variance,0.025221819930822124
Avg Bwd Segment Size,0.024834114875333286
Subflow Bwd Bytes,0.022847156155465457
Min Packet Length,0.01808891696461663
Packet Length Mean,0.016575932267086486
Total Length of Bwd Packets,0.016214224849019566
Fwd Packet Length Max,0.01583960936130976
Average Packet Size,0.01469443582397043
Bwd Packet Length Max,0.0131906635915987
Bwd Header Length,0.012290792139305704
Fwd Packet Length Std,0.01166454734123098
Bwd Packet Length Min,0.011603519357520567
Fwd Header Length,0.01159031795000636
Max Packet Length,0.011222845017938429
Fwd IAT Mean,0.011012600784403229
Init_Win_bytes_forward,0.009202714498097822
min_seg_size_forward,0.009008858008805923
Fwd IAT Max,0.008695618942996971
Flow IAT Mean,0.007975106196948212
Idle Max,0.00771370226269282
Flow IAT Max,0.006866155120840982
Flow Packets/s,0.006738741560029555
Fwd IAT Total,0.0064401036212136005
Avg Fwd Segment Size,0.00582204548683811
Fwd Packets/s,0.005025156810375764
Fwd Packet Length Mean,0.004617585252187227
Idle Mean,0.004530215518908811
Fwd IAT Min,0.004461350529158615
Flow IAT Std,0.004378724399547085
Bwd Packets/s,0.0038269825433785956
Total Backward Packets,0.0037617143700276632
Total Length of Fwd Packets,0.003562937374817484
Subflow Fwd Bytes,0.0032978622961386136
Flow Duration,0.003051860553073546
Fwd Packet Length Min,0.0027235358472056264
Fwd IAT Std,0.002629241468952981
Flow Bytes/s,0.002509264374013975
Total Fwd Packets,0.0022684352533266484
Bwd IAT Std,0.0020900829212654706
Bwd IAT Total,0.0017463391575215353
FIN Flag Count,0.0016509395283016545
Idle Min,0.0015473494164549584
act_data_pkt_fwd,0.0014853392561990644
Bwd IAT Max,0.0013023290804191285
ACK Flag Count,0.0011362859225670808
Flow IAT Min,0.0010242039876201085
Active Min,0.0009837130592555792
Bwd IAT Mean,0.0009691143198082036
Bwd IAT Min,0.0007833042239978527
Fwd PSH Flags,0.0006638915529201344
Active Max,0.0006364633919942755
URG Flag Count,0.0006046627125254709
Active Mean,0.0005530402715305748
Down/Up Ratio,0.0004813945644039607
PSH Flag Count,0.0004397758445487058
Active Std,0.0002943703621734699
Idle Std,0.00021868338101731197
Fwd URG Flags,1.4219145517867757e-07
RST Flag Count,3.529362262882854e-08
ECE Flag Count,9.457632407270538e-09
